
school_id,school_name,address,phone,email,website,opening_times,term_dates,inset_days,breakfast_club,after_school_club,notes
WS011,New Forest - Forest Lodge,"Forest Lodge, Pikes Hill, Romsey Road, Lyndhurst SO43 7AS",02380 273657,info@worldofswimming.co.uk,https://www.worldofswimming.co.uk/swim-schools/new-forest,Mon 16:00-18:00; Tue 16:00-18:00; Wed 16:00-18:00,,,,,"Private pool; on-site parking, changing rooms and disabled changing facilities"
WS012,Norton Park Hotel,"Norton Park Hotel, Sutton Scotney, Winchester SO21 3NB",02380 273657,info@worldofswimming.co.uk,https://www.worldofswimming.co.uk/swim-schools/norton-park,Mon 16:00-17:30; Tue-Thu 16:00-18:00; Tue & Thu 08:00-10:00 (pre-school/home ed/adult),,,,,"15m x 6m pool with depth 1.2m; teaching children up to Stage 4 plus adult, pre-school and home education lessons; on-site parking, changing rooms and disabled changing facilities"
WS013,Portsmouth - St Edmunds Catholic School,"St Edmunds Catholic School, Upper Arundel Street, Portsmouth PO1 1RX",02380 273657,info@worldofswimming.co.uk,https://www.worldofswimming.co.uk/swim-schools/portsmouth,Mon-Thu 16:30-18:00; Sat 08:30-10:30,,,,,"4 lane pool (25m x 8m), depth 1–3.5m; on-site parking, changing rooms, disabled changing and large viewing gallery"
WS014,Southampton - Regents Park Community College,"Regents Park Community College, King Edward Avenue, Shirley SO16 4GW",02380 273657,info@worldofswimming.co.uk,https://www.worldofswimming.co.uk/swim-schools/regents-park-southampton,Mon 16:00-20:30; Tue 16:30-18:30; Wed 16:00-17:30; Thu 16:00-18:00; Fri 16:00-18:00; Sat 12:00-14:30,,,,,"4 lane pool (18m x 6m) with depth 1.2m; on-site parking, changing rooms, disabled changing and large viewing gallery"
WS015,Totton - Hounsdown School,"Hounsdown School, Jacobs Gutter Lane, Gutter Lane, Southampton SO40 9FT",02380 273657,info@worldofswimming.co.uk,https://www.worldofswimming.co.uk/swim-schools/totton,Mon 16:30-19:00; Tue 16:00-19:00; Wed 16:00-18:30; Wed 18:30-19:30 (adult); Thu 16:00-18:30; Fri 16:00-19:00; Sat 09:30-12:15; Sun 08:00-12:00,,,,,"4 lane pool (17m x 8m), depth 1–1.8m; on-site parking, changing rooms, disabled changing and large viewing gallery"
WS016,Yateley - Yateleys Health & Fitness,"Yateleys Health & Fitness, School Lane, Yateley GU46 6NW",01252 900290,yateley@worldofswimming.co.uk,https://www.worldofswimming.co.uk/swim-schools/yateley,Mon 15:45-20:20; Wed 15:45-19:50; Thu 15:45-18:50; Sat 10:15-13:15; Sun 10:45-12:45; Sun 17:15-19:50,,,,,"4 lane pool (20.6m x 9.2m), depth 1–3m; on-site parking, changing rooms, disabled changing facilities and limited balcony viewing"
WS017,Winchester - Kings' School,"Kings’ School, Romsey Road, Winchester SO22 5PN",02380 273657,info@worldofswimming.co.uk,https://www.worldofswimming.co.uk/swim-schools/winchester,Tue 18:15-19:45; Wed 16:00-17:00; Wed 19:00-19:45; Wed 19:45-20:30; Thu 16:00-18:30; Thu 20:00-22:00; Sat 12:15-14:45; Sun 08:00-11:45,,,,,"6 lane pool (25m x 10.5m) with depths 0.9–1.2m; on-site parking, changing rooms, disabled changing and large viewing gallery"
WS018,London W12 - Vanessa Nursery School,"Cathnor Road, London W12 9JA",023 8254 9477 / 07578 814041,london@worldofswimming.co.uk,https://www.worldofswimming.co.uk/swim-schools/london-vanessa-nursery,Mon 16:00-19:00; Thu 16:00-19:00; Sat 14:00-17:00,,,,,10m x 4m pool with depths 0.4–1.5m; pay-and-display on-street parking and two shared changing rooms
WS019,London W9 - Queen Elizabeth II Jubilee School,"Kennet Road, Maida Hill, London W9 3LG",023 8254 9477 / 07578 814041,london@worldofswimming.co.uk,https://www.londonswimschool.co.uk/swim-school-locations/queen-elizabeth-ii-jubilee-school,Mon 16:00-18:30; Thu 16:00-18:30; Sun 15:40-18:30,,,,,"6m x 4m pool with depth 1.5m; pay-and-display on-street parking, two shared changing rooms, open showers and disabled changing facilities"
WS020,Cothill House School (Abingdon),"Cothill House School, Cothill, Oxfordshire OX13 6JL",02380 273657,info@worldofswimming.co.uk,https://www.worldofswimming.co.uk/swim-schools/abingdon-cothill-school,May Half-Term 26-29 May 09:30-11:30; Summer week1 3-7 Aug 09:30-11:30; Summer week2 10-14 Aug 09:30-11:30,Crash courses during May half-term and summer holidays,,,,"4 lane pool (18m x 8m); on-site parking, changing rooms and limited viewing area"
WS021,Kingfisher School (Abingdon),"Kingfisher School, Radley Road, Abingdon OX14 3RR",02380 273657,info@worldofswimming.co.uk,https://www.worldofswimming.co.uk/swim-schools/abingdon-kingfisher-school,Fri 17:30-19:30,,,,,"2 lane pool; on-site parking, changing rooms and limited viewing area"
WS022,Harwell School (Didcot),"The Styles, Harwell, Didcot OX11 0HX",02380 273657,info@worldofswimming.co.uk,https://www.worldofswimming.co.uk/swim-schools/didcot-harwell-school,Mon 16:00-19:00; Sat 09:00-12:30 (April–October),Classes run April–October only,,,,"2 lane pool (14m x 5.26m) with depth 0.6–1.2m; on-site parking, changing rooms and limited viewing area"
WS023,Oxford High School,"High School, Belbroughton Road, Oxford OX2 6XA",02380 273657,info@worldofswimming.co.uk,https://www.worldofswimming.co.uk/swim-schools/oxford-oxford-high-school,Sun 19:00-21:00,,,,,"6 lane pool (25m x 15m), depth 0.9–1.8m; on-site parking, changing rooms, disabled changing and limited viewing area"
WS024,Headington School (Oxford),"Headington Road, Oxford OX3 7TD",02380 273657,info@worldofswimming.co.uk,https://www.worldofswimming.co.uk/swim-schools/oxford-headington-school,Mon 19:00-20:00; Mon 20:00-21:00; Tue 19:00-21:00; Sat 08:30-11:30,,,,,"5 lane pool (25m x 10m) with depths 0.75–3m; on-site parking, changing rooms, disabled changing and limited viewing area"
WS025,Radley College (Abingdon),"Radley College, Abingdon, Oxfordshire OX14 2HR",02380 273657,info@worldofswimming.co.uk,https://www.worldofswimming.co.uk/swim-schools/radley,Mon 15:30-18:00; Wed 15:30-18:00; Sat 09:00-12:00; Wed 10:30-12:30; Thu 09:30-11:30,,,,,"6 lane pool (25m x 12m) with depth 0.9–2m; on-site parking, changing rooms, disabled changing facilities and viewing gallery; sessions include learn-to-swim, baby & preschool, home education and adult lessons"
WS026,Salisbury - Godolphin School,"Godolphin School, Milford Hill, Salisbury SP1 2RA",02380 273657,info@worldofswimming.co.uk,https://www.worldofswimming.co.uk/swim-schools/salisbury,Tue 16:00-17:00; Tue 19:15-21:15; Wed 16:00-18:30; Thu 16:00-18:00; Sat 11:45-15:15; Sun 08:00-12:00,,,,,"4 lane pool (25m x 9m), depth 0.9–2m; on-site parking, changing rooms, disabled changing and large viewing gallery"
